Nutrient1,Nutrient2,Value
Protein (g),"Iron, Fe (mg)",0.8065182571304567
"Potassium, K (mg)",Vitamin B-6 (mg),0.8046411856135984
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.8031719314596384
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.8030389695434368
Water (g),"Phosphorus, P (mg)",0.8019043909563718
"Fatty acids, total trans-polyenoic 20:3 n-3 (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.801719764252752
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.8005351835990798
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total polyunsaturated 16:1 c (g)",0.7978095787430728
"Fatty acids, total saturated 18:1 undifferentiated (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.7969911841903328
Energy (kJ),"Fatty acids, total monounsaturated (g)",0.7943078200231299
"Fatty acids, total monounsaturated (g)",Energy (kcal),0.7943052527340553
"Potassium, K (mg)","Zinc, Zn (mg)",0.7931253262678053
Vitamin D3 (cholecalciferol) (g),Vitamin D (D2 + D3) (g),0.7931148780323889
"Selenium, Se (g)",Niacin (mg),0.7918564803188269
"Zinc, Zn (mg)","Iron, Fe (mg)",0.7917600676202258
Vitamin B-6 (mg),Pantothenic acid (mg),0.7895778315888241
